data_level,database_path,name,review_scope,rows,sql_schema,table_id
curated_or_derived_atlas_data,atlas/candidates/0.3.0/immune_candidate.sqlite,entity_aliases,see_preserved_release_review_status,30,"CREATE TABLE entity_aliases (alias_id TEXT PRIMARY KEY, entity_id TEXT REFERENCES entities, original_label TEXT NOT NULL, assay_channel TEXT, resolution_status TEXT, source_id TEXT REFERENCES source_registry)",ATLAS_TABLE:entity_aliases
curated_or_derived_atlas_data,atlas/candidates/0.3.0/immune_candidate.sqlite,entity_components,see_preserved_release_review_status,2,"CREATE TABLE entity_components (complex_id TEXT REFERENCES entities, component_id TEXT REFERENCES entities, stoichiometry TEXT, source_id TEXT REFERENCES source_registry, PRIMARY KEY(complex_id,component_id))",ATLAS_TABLE:entity_components
curated_or_derived_atlas_data,atlas/candidates/0.3.0/immune_candidate.sqlite,evidence_instances,see_preserved_release_review_status,140,"CREATE TABLE evidence_instances (evidence_id TEXT PRIMARY KEY, assertion_id TEXT NOT NULL REFERENCES edge_assertions, source_id TEXT NOT NULL REFERENCES source_registry, cohort_id TEXT NOT NULL REFERENCES cohorts, source_locator TEXT NOT NULL, evidence_summary TEXT NOT NULL, effect_size TEXT, effect_unit TEXT, uncertainty TEXT, causal_directness TEXT, limitations TEXT, qc_status TEXT, extraction_lane TEXT, tested_hypothesis TEXT, evidence_relation TEXT, null_adequacy TEXT)",ATLAS_TABLE:evidence_instances
curated_or_derived_atlas_data,atlas/candidates/0.3.0/immune_candidate.sqlite,fine_mapping,see_preserved_release_review_status,0,"CREATE TABLE fine_mapping (record_id TEXT PRIMARY KEY, evidence_id TEXT REFERENCES evidence_instances, credible_set TEXT, posterior_probability TEXT, method TEXT, genome_build TEXT)",ATLAS_TABLE:fine_mapping
curated_or_derived_atlas_data,atlas/candidates/0.3.0/immune_candidate.sqlite,genetic_associations,see_preserved_release_review_status,21,"CREATE TABLE genetic_associations (record_id TEXT PRIMARY KEY, evidence_id TEXT REFERENCES evidence_instances, variant_entity_id TEXT REFERENCES entities, trait_entity_id TEXT REFERENCES entities, grade TEXT, effect_size TEXT, effect_unit TEXT, genome_build TEXT, causal_gene_status TEXT)",ATLAS_TABLE:genetic_associations
curated_or_derived_atlas_data,atlas/candidates/0.3.0/immune_candidate.sqlite,instruction_versions,see_preserved_release_review_status,10,"CREATE TABLE instruction_versions (instruction_id TEXT PRIMARY KEY, version TEXT, path TEXT, sha256 TEXT, scope TEXT)",ATLAS_TABLE:instruction_versions
curated_or_derived_atlas_data,atlas/candidates/0.3.0/immune_candidate.sqlite,journal_metrics,see_preserved_release_review_status,0,"CREATE TABLE journal_metrics (metric_id TEXT PRIMARY KEY, journal TEXT, year TEXT, impact_factor REAL, authoritative_source TEXT, verified INTEGER CHECK(verified IN (0,1)), multiplier REAL)",ATLAS_TABLE:journal_metrics
curated_or_derived_atlas_data,atlas/candidates/0.3.0/immune_candidate.sqlite,materialized_paths,see_preserved_release_review_status,0,"CREATE TABLE materialized_paths (path_id TEXT PRIMARY KEY, assertion_ids TEXT, context_id TEXT REFERENCES contexts, compatibility_report TEXT, status TEXT)",ATLAS_TABLE:materialized_paths
curated_or_derived_atlas_data,atlas/candidates/0.3.0/immune_candidate.sqlite,molecular_qtls,see_preserved_release_review_status,14,"CREATE TABLE molecular_qtls (record_id TEXT PRIMARY KEY, evidence_id TEXT REFERENCES evidence_instances, qtl_type TEXT, target_entity_id TEXT REFERENCES entities, effect_size TEXT, effect_unit TEXT, colocalization TEXT)",ATLAS_TABLE:molecular_qtls
curated_or_derived_atlas_data,atlas/candidates/0.3.0/immune_candidate.sqlite,multiomic_links,see_preserved_release_review_status,23,"CREATE TABLE multiomic_links (link_id TEXT PRIMARY KEY, from_assertion_id TEXT REFERENCES edge_assertions, to_assertion_id TEXT REFERENCES edge_assertions, status TEXT, compatibility_report TEXT, bridge_evidence_id TEXT REFERENCES evidence_instances)",ATLAS_TABLE:multiomic_links
