catalog_record_id,evidence_status,retrieved_on,sha256,snapshot_path,source_group,source_id,url,url_role
,public_metadata_snapshot,2026-09-14T18:00:30.960263+00:00,9adb8dd53e94c58b88817cc3f056f3f5236330b58006fd17a550bf3810fb0dc3,data_dictionary/sources/hr_vilage/github_tree.json,hr_vilage,SOURCE_fed51f8d7d3560be01,https://api.github.com/repos/XuejunSun98/HR-VILAGE-3K3M/git/trees/716c27dccba847875f85be63103e2245acaa3320?recursive=1,
,public_metadata_snapshot,2026-09-14T18:00:31.144185+00:00,b660876c34c8b59253ba2f960ad8dc8c6cee3ba7b922e9b5c288d0fe9fd089a1,data_dictionary/sources/hr_vilage/github_study_meta.csv,hr_vilage,SOURCE_421cd60e6753a176cf,https://raw.githubusercontent.com/XuejunSun98/HR-VILAGE-3K3M/716c27dccba847875f85be63103e2245acaa3320/study_meta.csv,
,public_metadata_snapshot,2026-09-14T18:02:00.437757+00:00,2072e630a3711e9dc3d9e145b9a86b96500cf307b80e1eb8a4a2e45814318dc2,data_dictionary/sources/hr_vilage/antibody/GSE101709_antibody.csv,hr_vilage,SOURCE_7235c3811e2b890872,https://huggingface.co/datasets/xuejun72/HR-VILAGE-3K3M/resolve/c68349578b97af04d1102eac5ad9f30f85362c53/antibody/GSE101709_antibody.csv,
,public_metadata_snapshot,2026-09-14T18:02:00.438230+00:00,6a90dd31b8e3d56d4e80dc3f6d64d1280ee4bffcdd27315e1be489939dfd9033,data_dictionary/sources/hr_vilage/antibody/GSE101710_antibody.csv,hr_vilage,SOURCE_43584b306a996d1cbd,https://huggingface.co/datasets/xuejun72/HR-VILAGE-3K3M/resolve/c68349578b97af04d1102eac5ad9f30f85362c53/antibody/GSE101710_antibody.csv,
,public_metadata_snapshot,2026-09-14T18:02:00.438348+00:00,cdb0ddb3ae0786c989070990fc8762fbe0cfb69374fe87923fa87f68156b0cf6,data_dictionary/sources/hr_vilage/antibody/GSE169159_antibody.csv,hr_vilage,SOURCE_2a49aea9c49bb1c213,https://huggingface.co/datasets/xuejun72/HR-VILAGE-3K3M/resolve/c68349578b97af04d1102eac5ad9f30f85362c53/antibody/GSE169159_antibody.csv,
,public_metadata_snapshot,2026-09-14T18:02:01.111104+00:00,31aec26fe17b2cb5944343658be1054181603bcf9033ceab790a11017878585c,data_dictionary/sources/hr_vilage/antibody/GSE190001_antibody.csv,hr_vilage,SOURCE_69b04897f3e2fd121c,https://huggingface.co/datasets/xuejun72/HR-VILAGE-3K3M/resolve/c68349578b97af04d1102eac5ad9f30f85362c53/antibody/GSE190001_antibody.csv,
,public_metadata_snapshot,2026-09-14T18:02:01.111621+00:00,9703bf76884ea08c6feef6daef0a28127ecd7925c5f661230e7d00165b3d06db,data_dictionary/sources/hr_vilage/antibody/GSE190747_antibody.csv,hr_vilage,SOURCE_fc9d05a4050231e352,https://huggingface.co/datasets/xuejun72/HR-VILAGE-3K3M/resolve/c68349578b97af04d1102eac5ad9f30f85362c53/antibody/GSE190747_antibody.csv,
,public_metadata_snapshot,2026-09-14T18:02:01.130597+00:00,15d7d4d8b9a896298091dfd83e3dd6adac68eb91e7ddcec8fe2822ea3abe82c6,data_dictionary/sources/hr_vilage/antibody/GSE194378_antibody.csv,hr_vilage,SOURCE_2c0f70bf57a401db12,https://huggingface.co/datasets/xuejun72/HR-VILAGE-3K3M/resolve/c68349578b97af04d1102eac5ad9f30f85362c53/antibody/GSE194378_antibody.csv,
,public_metadata_snapshot,2026-09-14T18:02:01.724423+00:00,626bf39c3cf02456aebaf8b83cb3e1907686397d040b03be27b6e4dbd51170c6,data_dictionary/sources/hr_vilage/antibody/GSE199750_antibody.csv,hr_vilage,SOURCE_95a23e499110909c8a,https://huggingface.co/datasets/xuejun72/HR-VILAGE-3K3M/resolve/c68349578b97af04d1102eac5ad9f30f85362c53/antibody/GSE199750_antibody.csv,
,public_metadata_snapshot,2026-09-14T18:02:01.729391+00:00,03545e472e355e6042c5bf246a98070028c9e5b89b02d8a2a0a8b34503af9165,data_dictionary/sources/hr_vilage/antibody/GSE201533_antibody.csv,hr_vilage,SOURCE_90e744d37195cd3a27,https://huggingface.co/datasets/xuejun72/HR-VILAGE-3K3M/resolve/c68349578b97af04d1102eac5ad9f30f85362c53/antibody/GSE201533_antibody.csv,
