Entry	Entry Name	Reviewed	Gene Names (primary)	Gene Names	Protein names	Organism (ID)	Keyword ID	Gene Ontology IDs
Q6UX27	VSTM1_HUMAN	reviewed	VSTM1	VSTM1 UNQ3033/PRO9835	V-set and transmembrane domain-containing protein 1 (Signal inhibitory receptor on leukocytes-1) (SIRL-1)	9606	KW-0025; KW-0202; KW-0903; KW-1015; KW-0325; KW-0391; KW-0393; KW-0472; KW-1267; KW-1185; KW-0964; KW-0732; KW-0812; KW-1133	GO:0004888; GO:0005576; GO:0005886; GO:0007165
Q6UX46	ALKL2_HUMAN	reviewed	ALKAL2	ALKAL2 FAM150B UNQ542/PRO1097	ALK and LTK ligand 2 (Augmentor alpha) (AUG-alpha)	9606	KW-0002; KW-0025; KW-1003; KW-0202; KW-0903; KW-1015; KW-0472; KW-1267; KW-1185; KW-0964; KW-0732	GO:0005125; GO:0005576; GO:0005886; GO:0007169; GO:0010976; GO:0030298; GO:0030971; GO:0070374; GO:0070378
Q6UXB2	CXL17_HUMAN	reviewed	CXCL17	CXCL17 VCC1 UNQ473/PRO842	C-X-C motif chemokine 17 (6-Cys CXCL17) (Dendritic cell and monocyte chemokine-like protein) (DMC) (VEGF coregulated chemokine 1) [Cleaved into: 4-Cys CXCL17]	9606	KW-0037; KW-0145; KW-0165; KW-0217; KW-0221; KW-0903; KW-1015; KW-0391; KW-1267; KW-1185; KW-0964; KW-0732	GO:0002548; GO:0005576; GO:0007204; GO:0008009; GO:0010575; GO:0010759; GO:0016477; GO:0030593; GO:0030595; GO:0042056; GO:0048246; GO:0048247; GO:0050728; GO:0070098; GO:0070374; GO:0090026
Q6UXT8	ALKL1_HUMAN	reviewed	ALKAL1	ALKAL1 FAM150A UNQ9433/PRO34745	ALK and LTK ligand 1 (Augmentor beta) (AUG-beta)	9606	KW-0002; KW-0025; KW-1003; KW-0202; KW-1015; KW-0472; KW-1267; KW-1185; KW-0964; KW-0732	GO:0005125; GO:0005576; GO:0005886; GO:0007169; GO:0010976; GO:0030298; GO:0030971; GO:0070374; GO:0070378
Q6ZMJ4	IL34_HUMAN	reviewed	IL34	IL34 C16orf77	Interleukin-34 (IL-34)	9606	KW-0002; KW-0025; KW-0202; KW-0325; KW-0339; KW-0391; KW-0395; KW-0399; KW-1267; KW-1185; KW-0964; KW-0732	GO:0001934; GO:0005157; GO:0005576; GO:0008284; GO:0010628; GO:0010759; GO:0030224; GO:0038145; GO:0042802; GO:0043235; GO:0043410; GO:0045651; GO:0045657; GO:0048714; GO:0061514; GO:0061518; GO:0120041
Q7Z5A7	TAFA5_HUMAN	reviewed	TAFA5	TAFA5 FAM19A5 UNQ5208/PRO34524	Chemokine-like protein TAFA-5	9606	KW-0025; KW-0202; KW-0903; KW-0325; KW-1267; KW-1185; KW-0964; KW-0732	GO:0001664; GO:0005576; GO:0005737; GO:0007186; GO:0048018; GO:1904706
Q7Z5Y6	BMP8A_HUMAN	reviewed	BMP8A	BMP8A	Bone morphogenetic protein 8A (BMP-8A)	9606	KW-0891; KW-0202; KW-0217; KW-0221; KW-1015; KW-0325; KW-0339; KW-0892; KW-1267; KW-1185; KW-0964; KW-0732	GO:0002024; GO:0005125; GO:0005576; GO:0008083; GO:0030154; GO:0030509; GO:0046676; GO:0097009
Q8IU54	IFNL1_HUMAN	reviewed	IFNL1	IFNL1 IL29 ZCYTO21	Interferon lambda-1 (IFN-lambda-1) (Cytokine Zcyto21) (Interleukin-29) (IL-29)	9606	KW-0002; KW-0051; KW-0202; KW-1015; KW-0325; KW-1267; KW-1185; KW-0964; KW-0732	GO:0002829; GO:0005102; GO:0005125; GO:0005576; GO:0007259; GO:0008285; GO:0032002; GO:0032003; GO:0032696; GO:0032714; GO:0032729; GO:0038196; GO:0042531; GO:0043381; GO:0045087; GO:0045345; GO:0045581; GO:0045892; GO:0045893; GO:0046427; GO:0050778; GO:0051607; GO:0098586
Q8IZ96	CKLF1_HUMAN	reviewed	CMTM1	CMTM1 CKLFSF1	CKLF-like MARVEL transmembrane domain-containing protein 1 (Chemokine-like factor superfamily member 1)	9606	KW-0025; KW-0145; KW-0202; KW-0472; KW-1267; KW-1185; KW-0812; KW-1133	GO:0016020
Q8IZI9	IFNL3_HUMAN	reviewed	IFNL3	IFNL3 IL28B IL28C ZCYTO22	Interferon lambda-3 (IFN-lambda-3) (Cytokine Zcyto22) (Interleukin-28B) (IL-28B) (Interleukin-28C) (IL-28C)	9606	KW-0002; KW-0051; KW-0202; KW-1015; KW-1185; KW-0964; KW-0732	GO:0005102; GO:0005125; GO:0005576; GO:0007259; GO:0038196; GO:0045071; GO:0045087; GO:0050778; GO:0051607; GO:0098586
Q8NEV9	IL27A_HUMAN	reviewed	IL27	IL27 IL27A IL30	Interleukin-27 subunit alpha (IL-27 subunit alpha) (IL-27-A) (IL27-A) (Interleukin-30) (p28)	9606	KW-0002; KW-0930; KW-0202; KW-0325; KW-0391; KW-0395; KW-0399; KW-1267; KW-1185; KW-0964; KW-0732	GO:0005102; GO:0005576; GO:0005788; GO:0005829; GO:0007259; GO:0009986; GO:0032729; GO:0032733; GO:0042129; GO:0043066; GO:0043235; GO:0043410; GO:0045523; GO:0045625; GO:0070106; GO:0140459
